449124,1000002501114174100,63875743292004,(0.007, 1.430, 0.007),(0.038, -0.343, 0.040, 0.938),VALID,(0.194, 0.130, 0.972),(0.000, 0.000, 0.000),63.850,VALID,(0.194, 0.130, 0.972),(-0.032, 0.000, 0.000),0.547,3.454,6.314,0.969,VALID,(0.194, 0.130, 0.972),(0.032, 0.000, 0.000),0.540,3.432,6.354,0.991,2,0.8352247
449125,1000002501119201300,63875743292004,(0.007, 1.430, 0.007),(0.038, -0.343, 0.040, 0.938),VALID,(0.194, 0.131, 0.972),(0.000, 0.000, 0.000),63.850,VALID,(0.194, 0.131, 0.972),(-0.032, 0.000, 0.000),0.548,3.458,6.314,0.969,VALID,(0.194, 0.131, 0.972),(0.032, 0.000, 0.000),0.541,3.436,6.354,0.991,2,0.8485923
449126,1000002501124210900,63875743292016,(0.007, 1.430, 0.008),(0.038, -0.343, 0.040, 0.938),VALID,(0.195, 0.130, 0.972),(0.000, 0.000, 0.000),63.850,VALID,(0.195, 0.130, 0.972),(-0.032, 0.000, 0.000),0.548,3.461,6.314,0.969,VALID,(0.195, 0.130, 0.972),(0.032, 0.000, 0.000),0.542,3.441,6.354,0.991,2,0.7473521
449127,1000002501129225000,63875743292016,(0.007, 1.430, 0.008),(0.038, -0.343, 0.040, 0.938),VALID,(0.195, 0.130, 0.972),(0.000, 0.000, 0.000),63.850,VALID,(0.195, 0.130, 0.972),(-0.032, 0.000, 0.000),0.548,3.462,6.314,0.968,VALID,(0.195, 0.130, 0.972),(0.032, 0.000, 0.000),0.542,3.444,6.354,0.990,2,0.7646832
449128,1000002501134239100,63875743292026,(0.007, 1.430, 0.008),(0.038, -0.342, 0.040, 0.938),VALID,(0.195, 0.130, 0.972),(0.000, 0.000, 0.000),63.850,VALID,(0.196, 0.130, 0.972),(-0.032, 0.000, 0.000),0.549,3.463,6.314,0.968,VALID,(0.195, 0.130, 0.972),(0.032, 0.000, 0.000),0.542,3.445,6.354,0.990,2,0.7603144
449129,1000002501139275100,63875743292026,(0.007, 1.430, 0.008),(0.038, -0.342, 0.040, 0.938),VALID,(0.196, 0.130, 0.972),(0.000, 0.000, 0.000),63.850,VALID,(0.196, 0.130, 0.972),(-0.032, 0.000, 0.000),0.549,3.465,6.314,0.968,VALID,(0.196, 0.130, 0.972),(0.032, 0.000, 0.000),0.542,3.446,6.354,0.990,2,0.7565422
449130,1000002501144311100,63875743292037,(0.007, 1.430, 0.008),(0.039, -0.342, 0.040, 0.938),VALID,(0.196, 0.129, 0.972),(0.000, 0.000, 0.000),63.850,VALID,(0.196, 0.129, 0.972),(-0.032, 0.000, 0.000),0.549,3.465,6.314,0.969,VALID,(0.196, 0.129, 0.972),(0.032, 0.000, 0.000),0.542,3.446,6.354,0.989,2,0.7081841
449131,1000002501149347100,63875743292038,(0.007, 1.430, 0.008),(0.039, -0.342, 0.040, 0.938),VALID,(0.196, 0.128, 0.972),(0.000, 0.000, 0.000),63.850,VALID,(0.196, 0.128, 0.972),(-0.032, 0.000, 0.000),0.549,3.465,6.314,0.969,VALID,(0.196, 0.128, 0.972),(0.032, 0.000, 0.000),0.544,3.453,6.354,0.989,2,0.6856187
449132,1000002501154383100,63875743292049,(0.007, 1.430, 0.008),(0.039, -0.341, 0.040, 0.938),VALID,(0.196, 0.128, 0.972),(0.000, 0.000, 0.000),63.850,VALID,(0.196, 0.128, 0.972),(-0.032, 0.000, 0.000),0.548,3.459,6.314,0.969,VALID,(0.196, 0.128, 0.972),(0.032, 0.000, 0.000),0.544,3.457,6.354,0.989,2,0.6559567
449133,1000002501159397200,63875743292049,(0.007, 1.430, 0.008),(0.039, -0.341, 0.040, 0.938),VALID,(0.196, 0.128, 0.972),(0.000, 0.000, 0.000),63.850,VALID,(0.196, 0.128, 0.972),(-0.032, 0.000, 0.000),0.547,3.454,6.314,0.969,VALID,(0.196, 0.128, 0.972),(0.032, 0.000, 0.000),0.545,3.460,6.354,0.988,2,0.6694739
449134,1000002501164310100,63875743292060,(0.007, 1.429, 0.008),(0.040, -0.341, 0.041, 0.938),VALID,(0.196, 0.128, 0.972),(0.000, 0.000, 0.000),63.850,VALID,(0.196, 0.128, 0.972),(-0.032, 0.000, 0.000),0.546,3.447,6.314,0.968,VALID,(0.196, 0.128, 0.972),(0.032, 0.000, 0.000),0.545,3.461,6.354,0.988,2,0.6521796
449135,1000002501169324200,63875743292071,(0.007, 1.429, 0.008),(0.040, -0.341, 0.041, 0.938),VALID,(0.196, 0.128, 0.972),(0.000, 0.000, 0.000),63.850,VALID,(0.196, 0.128, 0.972),(-0.032, 0.000, 0.000),0.546,3.447,6.314,0.968,VALID,(0.196, 0.128, 0.972),(0.032, 0.000, 0.000),0.545,3.463,6.354,0.987,2,0.6343873
449136,1000002501174551900,63875743292071,(0.007, 1.429, 0.008),(0.040, -0.341, 0.041, 0.938),VALID,(0.195, 0.128, 0.972),(0.000, 0.000, 0.000),63.850,VALID,(0.195, 0.128, 0.972),(-0.032, 0.000, 0.000),0.546,3.450,6.314,0.968,VALID,(0.195, 0.128, 0.972),(0.032, 0.000, 0.000),0.545,3.465,6.354,0.987,2,0.6172466
449137,1000002501179497300,63875743292071,(0.007, 1.429, 0.008),(0.040, -0.341, 0.041, 0.938),VALID,(0.195, 0.127, 0.972),(0.000, 0.000, 0.000),63.850,VALID,(0.195, 0.127, 0.972),(-0.032, 0.000, 0.000),0.548,3.458,6.314,0.968,VALID,(0.195, 0.127, 0.972),(0.032, 0.000, 0.000),0.546,3.467,6.354,0.987,2,0.6366366
449138,1000002501184347500,63875743292082,(0.007, 1.429, 0.008),(0.041, -0.340, 0.042, 0.939),VALID,(0.195, 0.127, 0.973),(0.000, 0.000, 0.000),63.850,VALID,(0.195, 0.127, 0.973),(-0.032, 0.000, 0.000),0.549,3.468,6.314,0.967,VALID,(0.195, 0.127, 0.973),(0.032, 0.000, 0.000),0.546,3.469,6.354,0.986,2,0.6175582
449139,1000002501189362000,63875743292082,(0.007, 1.429, 0.008),(0.041, -0.340, 0.042, 0.939),VALID,(0.195, 0.127, 0.973),(0.000, 0.000, 0.000),63.850,VALID,(0.195, 0.127, 0.973),(-0.032, 0.000, 0.000),0.551,3.481,6.314,0.968,VALID,(0.195, 0.127, 0.973),(0.032, 0.000, 0.000),0.546,3.471,6.354,0.986,2,0.6186898
449140,1000002501194371700,63875743292082,(0.007, 1.429, 0.008),(0.041, -0.340, 0.042, 0.939),VALID,(0.195, 0.127, 0.973),(0.000, 0.000, 0.000),63.850,VALID,(0.195, 0.127, 0.973),(-0.032, 0.000, 0.000),0.553,3.489,6.314,0.967,VALID,(0.195, 0.127, 0.973),(0.032, 0.000, 0.000),0.547,3.473,6.354,0.985,2,0.6506685
